MagnetometerDeviceID,SampleDateTime,GeoBfieldMeasureNorth,GeoBfieldMeasureEast,GeoBfieldMeasureVertical
50112,12/2/2023 10:04:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:05:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:06:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:07:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:08:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:09:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:10:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:11:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:12:00 AM,17491.00,4508.00,50733.00
50112,12/2/2023 10:13:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:14:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:15:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:16:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:17:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:18:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:19:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:20:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:21:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:22:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:23:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:24:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:25:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:26:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:27:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:28:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:29:00 AM,17492.00,4508.00,50733.00
50112,12/2/2023 10:30:00 AM,17493.00,4508.00,50733.00
50112,12/2/2023 10:31:00 AM,17493.00,4508.00,50733.00
50112,12/2/2023 10:32:00 AM,17493.00,4508.00,50733.00
50112,12/2/2023 10:33:00 AM,17493.00,4508.00,50733.00
50112,12/2/2023 10:34:00 AM,17493.00,4508.00,50733.00
50112,12/2/2023 10:35:00 AM,17493.00,4509.00,50733.00
50112,12/2/2023 10:36:00 AM,17494.00,4509.00,50733.00
50112,12/2/2023 10:37:00 AM,17494.00,4509.00,50733.00
50112,12/2/2023 10:38:00 AM,17494.00,4508.00,50733.00
50112,12/2/2023 10:39:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:40:00 AM,17492.00,4509.00,50732.00
50112,12/2/2023 10:41:00 AM,17491.00,4509.00,50732.00
50112,12/2/2023 10:42:00 AM,17491.00,4510.00,50732.00
50112,12/2/2023 10:43:00 AM,17491.00,4510.00,50732.00
50112,12/2/2023 10:44:00 AM,17491.00,4510.00,50732.00
50112,12/2/2023 10:45:00 AM,17491.00,4509.00,50732.00
50112,12/2/2023 10:46:00 AM,17492.00,4509.00,50732.00
50112,12/2/2023 10:47:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:48:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:49:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 10:50:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 10:51:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 10:52:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 10:53:00 AM,17494.00,4507.00,50732.00
50112,12/2/2023 10:54:00 AM,17494.00,4507.00,50732.00
50112,12/2/2023 10:55:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:56:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:57:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:58:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 10:59:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:00:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:01:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:02:00 AM,17492.00,4508.00,50732.00
50112,12/2/2023 11:03:00 AM,17492.00,4508.00,50732.00
50112,12/2/2023 11:04:00 AM,17492.00,4507.00,50732.00
50112,12/2/2023 11:05:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:06:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:07:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:08:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:09:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:10:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:11:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:12:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:13:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:14:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:15:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:16:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:17:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:18:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:19:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:20:00 AM,17495.00,4510.00,50732.00
50112,12/2/2023 11:21:00 AM,17495.00,4509.00,50732.00
50112,12/2/2023 11:22:00 AM,17495.00,4509.00,50732.00
50112,12/2/2023 11:23:00 AM,17495.00,4509.00,50732.00
50112,12/2/2023 11:24:00 AM,17495.00,4509.00,50732.00
50112,12/2/2023 11:25:00 AM,17494.00,4510.00,50732.00
50112,12/2/2023 11:26:00 AM,17494.00,4510.00,50732.00
50112,12/2/2023 11:27:00 AM,17495.00,4509.00,50732.00
50112,12/2/2023 11:28:00 AM,17495.00,4509.00,50732.00
50112,12/2/2023 11:29:00 AM,17495.00,4508.00,50732.00
50112,12/2/2023 11:30:00 AM,17495.00,4507.00,50732.00
50112,12/2/2023 11:31:00 AM,17495.00,4507.00,50732.00
50112,12/2/2023 11:32:00 AM,17495.00,4506.00,50732.00
50112,12/2/2023 11:33:00 AM,17494.00,4506.00,50731.00
50112,12/2/2023 11:34:00 AM,17494.00,4506.00,50731.00
50112,12/2/2023 11:35:00 AM,17495.00,4506.00,50731.00
50112,12/2/2023 11:36:00 AM,17494.00,4506.00,50731.00
50112,12/2/2023 11:37:00 AM,17494.00,4507.00,50731.00
50112,12/2/2023 11:38:00 AM,17494.00,4507.00,50731.00
50112,12/2/2023 11:39:00 AM,17494.00,4507.00,50731.00
50112,12/2/2023 11:40:00 AM,17495.00,4507.00,50731.00
50112,12/2/2023 11:41:00 AM,17494.00,4506.00,50731.00
50112,12/2/2023 11:42:00 AM,17494.00,4506.00,50731.00
50112,12/2/2023 11:43:00 AM,17493.00,4506.00,50731.00
50112,12/2/2023 11:44:00 AM,17492.00,4506.00,50731.00
50112,12/2/2023 11:45:00 AM,17492.00,4507.00,50731.00
50112,12/2/2023 11:46:00 AM,17492.00,4508.00,50731.00
50112,12/2/2023 11:47:00 AM,17492.00,4508.00,50732.00
50112,12/2/2023 11:48:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:49:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:50:00 AM,17493.00,4507.00,50732.00
50112,12/2/2023 11:51:00 AM,17493.00,4507.00,50732.00
50112,12/2/2023 11:52:00 AM,17493.00,4508.00,50732.00
50112,12/2/2023 11:53:00 AM,17494.00,4508.00,50732.00
50112,12/2/2023 11:54:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:55:00 AM,17494.00,4509.00,50732.00
50112,12/2/2023 11:56:00 AM,17494.00,4510.00,50732.00
50112,12/2/2023 11:57:00 AM,17493.00,4510.00,50732.00
50112,12/2/2023 11:58:00 AM,17493.00,4510.00,50732.00
50112,12/2/2023 11:59:00 AM,17494.00,4510.00,50732.00
50112,12/2/2023 12:00:00 PM,17494.00,4510.00,50732.00
50112,12/2/2023 12:01:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:02:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:03:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:04:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:05:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:06:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:07:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:08:00 PM,17494.00,4510.00,50732.00
50112,12/2/2023 12:09:00 PM,17494.00,4510.00,50732.00
50112,12/2/2023 12:10:00 PM,17494.00,4510.00,50732.00
50112,12/2/2023 12:11:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:12:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:13:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:14:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:15:00 PM,17493.00,4509.00,50732.00
50112,12/2/2023 12:16:00 PM,17493.00,4510.00,50732.00
50112,12/2/2023 12:17:00 PM,17493.00,4509.00,50732.00
50112,12/2/2023 12:18:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:19:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:20:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:21:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:22:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:23:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:24:00 PM,17493.00,4508.00,50732.00
50112,12/2/2023 12:25:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:26:00 PM,17493.00,4508.00,50732.00
50112,12/2/2023 12:27:00 PM,17493.00,4509.00,50732.00
50112,12/2/2023 12:28:00 PM,17493.00,4509.00,50732.00
50112,12/2/2023 12:29:00 PM,17493.00,4509.00,50732.00
50112,12/2/2023 12:30:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:31:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:32:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:33:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:34:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:35:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:36:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:37:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:38:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:39:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:40:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:41:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:42:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:43:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:44:00 PM,17494.00,4508.00,50732.00
50112,12/2/2023 12:45:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:46:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:47:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:48:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:49:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:50:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:51:00 PM,17494.00,4509.00,50732.00
50112,12/2/2023 12:52:00 PM,17495.00,4509.00,50732.00
50112,12/2/2023 12:53:00 PM,17495.00,4508.00,50732.00
50112,12/2/2023 12:54:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 12:55:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 12:56:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 12:57:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 12:58:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 12:59:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 1:00:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 1:01:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 1:02:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 1:03:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 1:04:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:05:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:06:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:07:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:08:00 PM,17495.00,4508.00,50731.00
50112,12/2/2023 1:09:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:10:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:11:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:12:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:13:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:14:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:15:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:16:00 PM,17495.00,4509.00,50731.00
50112,12/2/2023 1:17:00 PM,17495.00,4510.00,50731.00
50112,12/2/2023 1:18:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:19:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:20:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:21:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:22:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:23:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:24:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:25:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 1:26:00 PM,17497.00,4509.00,50731.00
50112,12/2/2023 1:27:00 PM,17497.00,4509.00,50731.00
50112,12/2/2023 1:28:00 PM,17497.00,4509.00,50731.00
50112,12/2/2023 1:29:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:30:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:31:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:32:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:33:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:34:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 1:35:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:36:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:37:00 PM,17496.00,4511.00,50731.00
50112,12/2/2023 1:38:00 PM,17496.00,4511.00,50731.00
50112,12/2/2023 1:39:00 PM,17496.00,4511.00,50731.00
50112,12/2/2023 1:40:00 PM,17497.00,4511.00,50731.00
50112,12/2/2023 1:41:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 1:42:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 1:43:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:44:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 1:45:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 1:46:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 1:47:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:48:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:49:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:50:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:51:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:52:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:53:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:54:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:55:00 PM,17496.00,4508.00,50731.00
50112,12/2/2023 1:56:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:57:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:58:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 1:59:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 2:00:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 2:01:00 PM,17496.00,4509.00,50731.00
50112,12/2/2023 2:02:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 2:03:00 PM,17496.00,4510.00,50731.00
50112,12/2/2023 2:04:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:05:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:06:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:07:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:08:00 PM,17497.00,4509.00,50731.00
50112,12/2/2023 2:09:00 PM,17497.00,4509.00,50731.00
50112,12/2/2023 2:10:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:11:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:12:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:13:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:14:00 PM,17497.00,4510.00,50731.00
50112,12/2/2023 2:15:00 PM,17496.00,4511.00,50731.00
50112,12/2/2023 2:16:00 PM,17496.00,4511.00,50731.00
50112,12/2/2023 2:17:00 PM,17497.00,4511.00,50732.00
50112,12/2/2023 2:18:00 PM,17497.00,4511.00,50732.00
50112,12/2/2023 2:19:00 PM,17497.00,4511.00,50732.00
50112,12/2/2023 2:20:00 PM,17497.00,4511.00,50732.00
50112,12/2/2023 2:21:00 PM,17497.00,4510.00,50732.00
50112,12/2/2023 2:22:00 PM,17497.00,4510.00,50732.00
50112,12/2/2023 2:23:00 PM,17497.00,4511.00,50732.00
50112,12/2/2023 2:24:00 PM,17498.00,4511.00,50732.00
50112,12/2/2023 2:25:00 PM,17498.00,4510.00,50732.00
50112,12/2/2023 2:26:00 PM,17498.00,4510.00,50732.00
50112,12/2/2023 2:27:00 PM,17498.00,4510.00,50732.00
50112,12/2/2023 2:28:00 PM,17498.00,4510.00,50732.00
50112,12/2/2023 2:29:00 PM,17498.00,4510.00,50732.00
50112,12/2/2023 2:30:00 PM,17497.00,4510.00,50732.00
50112,12/2/2023 2:31:00 PM,17496.00,4511.00,50732.00
50112,12/2/2023 2:32:00 PM,17496.00,4512.00,50732.00
50112,12/2/2023 2:33:00 PM,17497.00,4512.00,50732.00
50112,12/2/2023 2:34:00 PM,17497.00,4512.00,50732.00
50112,12/2/2023 2:35:00 PM,17497.00,4512.00,50733.00
50112,12/2/2023 2:36:00 PM,17497.00,4512.00,50733.00
50112,12/2/2023 2:37:00 PM,17497.00,4513.00,50733.00
50112,12/2/2023 2:38:00 PM,17497.00,4513.00,50733.00
50112,12/2/2023 2:39:00 PM,17496.00,4513.00,50733.00
50112,12/2/2023 2:40:00 PM,17496.00,4513.00,50733.00
50112,12/2/2023 2:41:00 PM,17495.00,4513.00,50733.00
50112,12/2/2023 2:42:00 PM,17496.00,4514.00,50733.00
50112,12/2/2023 2:43:00 PM,17497.00,4514.00,50733.00
50112,12/2/2023 2:44:00 PM,17497.00,4514.00,50733.00
50112,12/2/2023 2:45:00 PM,17497.00,4514.00,50733.00
50112,12/2/2023 2:46:00 PM,17497.00,4514.00,50733.00
50112,12/2/2023 2:47:00 PM,17497.00,4513.00,50733.00
50112,12/2/2023 2:48:00 PM,17497.00,4513.00,50734.00
50112,12/2/2023 2:49:00 PM,17496.00,4513.00,50734.00
50112,12/2/2023 2:50:00 PM,17496.00,4514.00,50734.00
50112,12/2/2023 2:51:00 PM,17496.00,4514.00,50734.00
50112,12/2/2023 2:52:00 PM,17496.00,4515.00,50734.00
50112,12/2/2023 2:53:00 PM,17496.00,4516.00,50734.00
50112,12/2/2023 2:54:00 PM,17496.00,4516.00,50734.00
50112,12/2/2023 2:55:00 PM,17494.00,4517.00,50735.00
50112,12/2/2023 2:56:00 PM,17495.00,4518.00,50735.00
50112,12/2/2023 2:57:00 PM,17495.00,4518.00,50735.00
50112,12/2/2023 2:58:00 PM,17495.00,4518.00,50735.00
50112,12/2/2023 2:59:00 PM,17496.00,4518.00,50735.00
50112,12/2/2023 3:00:00 PM,17496.00,4518.00,50735.00
50112,12/2/2023 3:01:00 PM,17496.00,4518.00,50735.00
50112,12/2/2023 3:02:00 PM,17495.00,4518.00,50735.00
50112,12/2/2023 3:03:00 PM,17495.00,4518.00,50735.00
50112,12/2/2023 3:04:00 PM,17496.00,4519.00,50735.00
50112,12/2/2023 3:05:00 PM,17496.00,4519.00,50735.00
50112,12/2/2023 3:06:00 PM,17496.00,4519.00,50735.00
50112,12/2/2023 3:07:00 PM,17496.00,4519.00,50735.00
50112,12/2/2023 3:08:00 PM,17496.00,4519.00,50735.00
50112,12/2/2023 3:09:00 PM,17495.00,4519.00,50735.00
50112,12/2/2023 3:10:00 PM,17494.00,4520.00,50735.00
50112,12/2/2023 3:11:00 PM,17494.00,4520.00,50735.00
50112,12/2/2023 3:12:00 PM,17494.00,4521.00,50735.00
50112,12/2/2023 3:13:00 PM,17494.00,4521.00,50735.00
50112,12/2/2023 3:14:00 PM,17495.00,4520.00,50735.00
50112,12/2/2023 3:15:00 PM,17495.00,4520.00,50735.00
50112,12/2/2023 3:16:00 PM,17495.00,4521.00,50735.00
50112,12/2/2023 3:17:00 PM,17496.00,4521.00,50735.00
50112,12/2/2023 3:18:00 PM,17495.00,4520.00,50735.00
50112,12/2/2023 3:19:00 PM,17496.00,4520.00,50735.00
50112,12/2/2023 3:20:00 PM,17495.00,4520.00,50735.00
50112,12/2/2023 3:21:00 PM,17495.00,4519.00,50735.00
50112,12/2/2023 3:22:00 PM,17497.00,4520.00,50735.00
50112,12/2/2023 3:23:00 PM,17497.00,4521.00,50735.00
50112,12/2/2023 3:24:00 PM,17495.00,4521.00,50735.00
50112,12/2/2023 3:25:00 PM,17493.00,4521.00,50735.00
50112,12/2/2023 3:26:00 PM,17493.00,4522.00,50735.00
50112,12/2/2023 3:27:00 PM,17492.00,4523.00,50735.00
50112,12/2/2023 3:28:00 PM,17493.00,4524.00,50735.00
50112,12/2/2023 3:29:00 PM,17494.00,4525.00,50735.00
50112,12/2/2023 3:30:00 PM,17493.00,4526.00,50735.00
50112,12/2/2023 3:31:00 PM,17493.00,4526.00,50736.00
50112,12/2/2023 3:32:00 PM,17491.00,4526.00,50736.00
50112,12/2/2023 3:33:00 PM,17491.00,4524.00,50736.00
50112,12/2/2023 3:34:00 PM,17492.00,4524.00,50736.00
50112,12/2/2023 3:35:00 PM,17494.00,4523.00,50735.00
50112,12/2/2023 3:36:00 PM,17495.00,4523.00,50735.00
50112,12/2/2023 3:37:00 PM,17496.00,4522.00,50735.00
50112,12/2/2023 3:38:00 PM,17496.00,4522.00,50735.00
50112,12/2/2023 3:39:00 PM,17495.00,4521.00,50735.00
50112,12/2/2023 3:40:00 PM,17494.00,4521.00,50735.00
50112,12/2/2023 3:41:00 PM,17494.00,4521.00,50735.00
50112,12/2/2023 3:42:00 PM,17494.00,4521.00,50735.00
50112,12/2/2023 3:43:00 PM,17494.00,4521.00,50735.00
50112,12/2/2023 3:44:00 PM,17493.00,4521.00,50735.00
50112,12/2/2023 3:45:00 PM,17493.00,4522.00,50735.00
50112,12/2/2023 3:46:00 PM,17492.00,4522.00,50735.00
50112,12/2/2023 3:47:00 PM,17491.00,4523.00,50735.00
50112,12/2/2023 3:48:00 PM,17491.00,4523.00,50735.00
50112,12/2/2023 3:49:00 PM,17491.00,4523.00,50735.00
50112,12/2/2023 3:50:00 PM,17492.00,4523.00,50735.00
50112,12/2/2023 3:51:00 PM,17491.00,4524.00,50735.00
50112,12/2/2023 3:52:00 PM,17490.00,4525.00,50735.00
50112,12/2/2023 3:53:00 PM,17490.00,4525.00,50735.00
50112,12/2/2023 3:54:00 PM,17489.00,4526.00,50735.00
50112,12/2/2023 3:55:00 PM,17489.00,4526.00,50736.00
50112,12/2/2023 3:56:00 PM,17489.00,4527.00,50736.00
50112,12/2/2023 3:57:00 PM,17489.00,4527.00,50736.00
50112,12/2/2023 3:58:00 PM,17489.00,4527.00,50736.00
50112,12/2/2023 3:59:00 PM,17488.00,4527.00,50735.00
50112,12/2/2023 4:00:00 PM,17488.00,4527.00,50736.00
50112,12/2/2023 4:01:00 PM,17489.00,4528.00,50736.00
50112,12/2/2023 4:02:00 PM,17489.00,4528.00,50736.00
50112,12/2/2023 4:03:00 PM,17489.00,4528.00,50736.00
50112,12/2/2023 4:04:00 PM,17488.00,4528.00,50736.00
50112,12/2/2023 4:05:00 PM,17488.00,4528.00,50736.00
50112,12/2/2023 4:06:00 PM,17493.00,4526.00,50736.00
50112,12/2/2023 4:07:00 PM,17493.00,4527.00,50736.00
50112,12/2/2023 4:08:00 PM,17488.00,4529.00,50735.00
50112,12/2/2023 4:09:00 PM,17485.00,4531.00,50735.00
50112,12/2/2023 4:10:00 PM,17484.00,4532.00,50736.00
50112,12/2/2023 4:11:00 PM,17485.00,4534.00,50736.00
50112,12/2/2023 4:12:00 PM,17485.00,4536.00,50736.00
50112,12/2/2023 4:13:00 PM,17487.00,4536.00,50736.00
50112,12/2/2023 4:14:00 PM,17487.00,4534.00,50736.00
50112,12/2/2023 4:15:00 PM,17486.00,4534.00,50736.00
50112,12/2/2023 4:16:00 PM,17488.00,4534.00,50736.00
50112,12/2/2023 4:17:00 PM,17490.00,4533.00,50736.00
50112,12/2/2023 4:18:00 PM,17490.00,4532.00,50735.00
50112,12/2/2023 4:19:00 PM,17491.00,4531.00,50735.00
50112,12/2/2023 4:20:00 PM,17491.00,4528.00,50735.00
50112,12/2/2023 4:21:00 PM,17492.00,4527.00,50735.00
50112,12/2/2023 4:22:00 PM,17492.00,4526.00,50735.00
50112,12/2/2023 4:23:00 PM,17490.00,4528.00,50735.00
50112,12/2/2023 4:24:00 PM,17487.00,4530.00,50735.00
50112,12/2/2023 4:25:00 PM,17487.00,4532.00,50735.00
50112,12/2/2023 4:26:00 PM,17487.00,4532.00,50735.00
50112,12/2/2023 4:27:00 PM,17487.00,4533.00,50735.00
50112,12/2/2023 4:28:00 PM,17489.00,4534.00,50735.00
50112,12/2/2023 4:29:00 PM,17488.00,4535.00,50735.00
50112,12/2/2023 4:30:00 PM,17487.00,4537.00,50735.00
50112,12/2/2023 4:31:00 PM,17486.00,4537.00,50735.00
50112,12/2/2023 4:32:00 PM,17484.00,4538.00,50735.00
50112,12/2/2023 4:33:00 PM,17485.00,4539.00,50735.00
50112,12/2/2023 4:34:00 PM,17487.00,4539.00,50735.00
50112,12/2/2023 4:35:00 PM,17488.00,4538.00,50735.00
50112,12/2/2023 4:36:00 PM,17489.00,4537.00,50735.00
50112,12/2/2023 4:37:00 PM,17488.00,4536.00,50735.00
50112,12/2/2023 4:38:00 PM,17489.00,4535.00,50735.00
50112,12/2/2023 4:39:00 PM,17489.00,4533.00,50735.00
50112,12/2/2023 4:40:00 PM,17488.00,4534.00,50735.00
50112,12/2/2023 4:41:00 PM,17488.00,4534.00,50735.00
50112,12/2/2023 4:42:00 PM,17489.00,4534.00,50734.00
50112,12/2/2023 4:43:00 PM,17490.00,4533.00,50734.00
50112,12/2/2023 4:44:00 PM,17487.00,4534.00,50734.00
50112,12/2/2023 4:45:00 PM,17490.00,4532.00,50734.00
50112,12/2/2023 4:46:00 PM,17489.00,4531.00,50734.00
50112,12/2/2023 4:47:00 PM,17486.00,4534.00,50733.00
50112,12/2/2023 4:48:00 PM,17487.00,4529.00,50734.00
50112,12/2/2023 4:49:00 PM,17490.00,4524.00,50734.00
50112,12/2/2023 4:50:00 PM,17490.00,4522.00,50734.00
50112,12/2/2023 4:51:00 PM,17489.00,4522.00,50733.00
50112,12/2/2023 4:52:00 PM,17488.00,4523.00,50733.00
